站点名称,POI编号,拼音名称,gd经度,gd纬度,路线名称,城市名称,行政区名称,bd经度,bd纬度
官山河,BV10799875,Guan ShanHe,121.460099,29.961327,4号线,宁波,江北区,121.466478,29.9673
长兴路,BV10799891,ChangXing Lu,121.462151,29.948101,4号线,宁波,江北区,121.482808,29.949541
金山路,BV10799869,JinShan Lu,121.4707,29.94107,4号线,宁波,江北区,121.477266,29.947053
奥体中心,BV10799871,AoTi ZhongXin,121.490244,29.934132,4号线,宁波,江北区,121.496973,29.939781
洪塘中路,BV10799894,HongTang ZhongLu,121.501582,29.92757,4号线,宁波,江北区,121.508357,29.933128
洪大路,BV10799868,HongDa Lu,121.521839,29.921287,4号线,宁波,江北区,121.528604,29.927122
庄桥火车站,BV10799880,ZhuangQiao HuoCheZhan,121.53451,29.921992,4号线,宁波,江北区,121.541275,29.928146
丽江路,BV10799881,LiJiang Lu,121.538966,29.910628,4号线,宁波,江北区,121.545354,29.916626
双东路,BV10799867,ShuangDong Lu,121.53269,29.896099,4号线,宁波,江北区,121.539618,29.904769
翠柏里,BV10799874,CuiBaiLi,121.532273,29.888041,4号线,宁波,海曙区,121.541966,29.890666
大卿桥,BV10192052,DaQing Qiao,121.53188,29.876588,4号线,宁波,海曙区,121.538767,29.88292
柳西,BV10799893,LiuXi,121.531223,29.870134,4号线,宁波,海曙区,121.537697,29.876803
宁波火车站,BV10191783,NingBo HuoCheZhan,121.537022,29.862141,4号线,宁波,海曙区,121.543962,29.868709
兴宁桥西,BV10799873,XingNing QiaoXi,121.548717,29.858995,4号线,宁波,海曙区,121.555215,29.865311
兴宁桥东,BV10799896,XingNing QiaoDong,121.55649,29.854152,4号线,宁波,鄞州区,121.5627,29.860673
白鹤,BV10799892,BaiHe,121.566228,29.852318,4号线,宁波,鄞州区,121.572993,29.858623
儿童公园,BV10799900,ErTong GongYuan,121.578385,29.85316,4号线,宁波,鄞州区,121.586016,29.859776
矮柳,BV10799886,AiLiu,121.587279,29.851379,4号线,宁波,鄞州区,121.593802,29.85759
潘火路,BV10799889,PanHuo Lu,121.591518,29.840227,4号线,宁波,鄞州区,121.597936,29.846202
